Index	USGS	Pseudo_Length	Station_Skew	log10_DA	Lat_Cntrd	Long_Cntrd	Residuals
15	3336645	40	0.419	2.636	40.39385118	-88.0093498	0.332
16	3336900	44	0.000	2.119	40.25089201	-88.07320985	-0.086
20	3343400	53	-0.736	2.269	39.92400826	-88.14127504	-0.822
22	3344500	41	0.102	0.918	39.34817964	-88.00714402	0.016
23	3345500	128	-0.827	3.179	39.51655968	-88.13699747	-0.913
24	3346000	73	-0.304	2.501	39.26852963	-87.91700135	-0.390
25	3378000	73	-0.456	2.358	38.53839339	-87.94023355	-0.542
26	3378635	47	0.334	2.378	39.30351384	-88.52164558	0.248
28	3379500	99	-0.599	3.053	38.99769311	-88.4851104	-0.686
31	3380500	104	-0.037	2.658	38.56331042	-88.72489425	-0.123
32	3381500	74	0.239	3.492	38.64497091	-88.44497028	0.153
33	3382100	48	1.739	2.153	37.61435675	-88.85262966	1.653
34	3384450	46	-0.355	1.633	37.53136897	-88.52717961	-0.441
35	3385000	64	-0.231	1.281	37.47847666	-88.61896515	-0.317
166	3274650	43	-1.257	1.015	40.04106066	-85.10903484	-1.343
168	3275000	85	-0.360	2.723	39.84952007	-85.09757045	-0.446
170	3275600	48	-0.210	2.303	39.86655169	-84.84452986	-0.297
171	3276700	38	0.518	1.580	39.08197855	-85.11773106	0.431
172	3277000	80	0.076	2.394	39.13191377	-85.2142228	-0.010
173	3291780	44	-0.639	1.440	38.93352647	-85.28100037	-0.725
174	3294000	59	0.342	2.276	38.48388911	-85.79204762	0.255
175	3302220	44	0.500	1.815	38.14658944	-86.00061505	0.414
177	3302500	53	0.590	2.106	38.34582078	-85.96849481	0.504
178	3302680	43	0.190	1.282	38.62602661	-86.0317001	0.104
180	3303000	102	-0.185	2.677	38.47040476	-86.14089823	-0.272
182	3322500	68	-0.353	2.489	40.45347897	-84.63876324	-0.439
183	3324000	70	-0.480	2.421	40.95812661	-85.28857188	-0.566
185	3324300	84	-0.245	2.624	40.5068731	-85.20969003	-0.332
186	3325500	84	-0.170	2.125	40.25928801	-84.86789475	-0.257
189	3328000	90	-0.261	2.623	41.12458524	-85.51620806	-0.348
191	3328500	80	-0.154	2.897	41.02660258	-85.73917776	-0.240
193	3329700	97	0.156	2.440	40.56943954	-86.28533024	0.070
194	3331500	70	-0.240	2.933	41.16901111	-86.04605732	-0.326
196	3333450	52	-0.494	2.172	40.37347584	-85.94589564	-0.580
197	3333600	69	0.747	1.339	40.42534272	-86.02929136	0.660
198	3334000	63	-0.430	2.597	40.42360941	-86.10985533	-0.517
199	3334500	79	-0.437	2.389	40.31411267	-86.50267904	-0.523
201	3335500	130	-0.115	3.861	40.73719531	-85.90657022	-0.201
203	3335700	60	-1.172	2.510	40.52177465	-87.24590879	-1.258
206	3339500	99	0.002	2.709	40.12655296	-86.57794476	-0.084
209	3340800	68	0.263	2.140	39.91321498	-86.75900037	0.177
212	3347500	49	0.250	1.534	40.06537768	-85.34817432	0.164
214	3348500	61	0.144	2.918	40.18198382	-85.48811206	0.058
215	3349700	40	-0.391	1.606	40.16950031	-86.13114088	-0.477
217	3350700	46	-0.151	1.709	40.0650993	-85.87831237	-0.238
218	3351310	44	0.239	1.251	39.89335648	-86.20726948	0.152
219	3351500	72	0.153	2.203	40.01095948	-85.63098092	0.066
220	3353120	54	-0.150	0.914	39.79377108	-86.04031652	-0.236
221	3353200	56	0.361	2.024	40.04593404	-86.26553506	0.275
222	3353620	43	-0.536	1.176	39.73925925	-86.0521441	-0.622
223	3353700	58	0.087	1.460	39.81627064	-86.53093341	0.001
224	3353800	69	0.080	2.327	39.77964108	-86.44554508	-0.006
225	3354500	42	0.214	1.165	39.28064003	-86.20697335	0.127
228	3357350	44	-0.106	0.476	39.78359806	-86.71958163	-0.192
229	3358000	64	-0.026	2.389	39.58604644	-86.63172518	-0.113
230	3360500	59	-0.212	3.671	39.70754031	-86.32267449	-0.298
